brand,model,desc,base,shape,price,p,lm_prc,lm,eff,eq,color,cri,angle,flicker,rating,war,hash_id,color_from_desc,lm_from_desc,w_from_desc
Bellight,C37 7W E27 3000 (L),3000K 600lm 7W M,E27,Candle,68.0,7.1,98.0,589.0,84,60.0,2953.0,82,,0.0,4.5,12.0,7b530f42563b52c4f4cdd364145e9a6a-37,3000.0,600.0,7.0
Bellight,C37 5W E27 4000 (L),4000K 470lm 5W M,E27,Candle,62.0,6.3,119.0,561.0,89,60.0,4047.0,81,,0.0,4.5,12.0,7b530f42563b52c4f4cdd364145e9a6a-38,4000.0,470.0,5.0
Bellight,C37 5W E27 3000 (L),3000K 470lm 5W M,E27,Candle,62.0,6.3,116.0,547.0,86,60.0,2929.0,82,,0.0,4.5,12.0,7b530f42563b52c4f4cdd364145e9a6a-39,3000.0,470.0,5.0
IEK,LLE-C35-7-230-40-E27,4000K 630lm 7W M,E27,Candle,67.0,6.4,100.0,630.0,99,65.0,3743.0,85,,0.0,4.3,24.0,7b530f42563b52c4f4cdd364145e9a6a-40,4000.0,630.0,7.0
IEK,LLE-C35-7-230-30-E27,3000K 630lm 7W M,E27,Candle,67.0,4.8,83.0,524.0,110,55.0,2987.0,81,,0.0,4.2,24.0,7b530f42563b52c4f4cdd364145e9a6a-41,3000.0,630.0,7.0
LED8,L8WGU10NW,4000K 790lm 8W,GU10,Spot,176.0,7.4,102.0,804.0,108,75.0,4045.0,81,,0.0,4.5,24.0,7b530f42563b52c4f4cdd364145e9a6a-42,4000.0,790.0,8.0
LED8,L8WGU10WW,3000K 750lm 8W,GU10,Spot,176.0,7.4,91.0,684.0,93,70.0,3059.0,83,,0.0,4.4,24.0,7b530f42563b52c4f4cdd364145e9a6a-43,3000.0,750.0,8.0
Donolux,DL18262N6GU10,4000K 570lm 6W,GU10,Spot,819.0,5.5,89.0,508.0,92,55.0,4079.0,92,,0.0,4.8,24.0,7b530f42563b52c4f4cdd364145e9a6a-44,4000.0,570.0,6.0
Donolux,DL18262W6GU10Dim,3000K 540lm 6W D,GU10,Spot,1219.0,5.3,80.0,431.0,81,50.0,3049.0,95,,23.0,3.0,24.0,7b530f42563b52c4f4cdd364145e9a6a-45,3000.0,540.0,6.0
Donolux,DL18262W9GU10,3000K 720lm 9W,GU10,Spot,1010.0,7.6,92.0,660.0,87,65.0,2993.0,95,,0.0,4.9,24.0,7b530f42563b52c4f4cdd364145e9a6a-46,3000.0,720.0,9.0
Donolux,DL18262N9GU10Dim,4000K 720lm 9W D,GU10,Spot,1430.0,7.6,96.0,692.0,91,70.0,4020.0,92,,22.0,3.5,24.0,7b530f42563b52c4f4cdd364145e9a6a-47,4000.0,720.0,9.0
Donolux,DL18262N9GU10,4000K 720lm 9W,GU10,Spot,1010.0,7.3,96.0,692.0,95,70.0,4065.0,92,,0.0,5.0,24.0,7b530f42563b52c4f4cdd364145e9a6a-48,4000.0,720.0,9.0
Donolux,DL18262W9GU10Dim,3000K 720lm 9W D,GU10,Spot,1430.0,7.9,97.0,699.0,88,70.0,3062.0,95,,30.0,3.0,24.0,7b530f42563b52c4f4cdd364145e9a6a-49,3000.0,720.0,9.0
Donolux,DL18262N15GU10,4000K 1092lm 15W,GU10,Spot,1404.0,11.7,102.0,1111.0,95,95.0,4032.0,92,,0.0,5.0,24.0,5bb7edb13d0a2464e7053d5fd9d345de-0,4000.0,1092.0,15.0
Космос,LED11wA60E2745,4500K 880lm 11W M,E27,Bulb,103.0,8.8,95.0,837.0,95,80.0,4152.0,82,,1.0,4.3,12.0,5bb7edb13d0a2464e7053d5fd9d345de-1,4500.0,880.0,11.0
Космос,LED15wA60E2745,4500K 1200lm 15W M,E27,Bulb,140.0,10.1,81.0,975.0,97,85.0,4030.0,81,,0.0,4.0,12.0,5bb7edb13d0a2464e7053d5fd9d345de-2,4500.0,1200.0,15.0
Gauss,105102122,3000K 1800lm 22W M,E27,Globe,750.0,16.9,98.0,1758.0,104,150.0,3042.0,83,,0.0,4.5,60.0,5bb7edb13d0a2464e7053d5fd9d345de-3,3000.0,1800.0,22.0
Gauss,105102122,3000K 1800lm 22W M,E27,Globe,750.0,17.3,96.0,1722.0,100,150.0,3050.0,83,,0.0,4.5,60.0,5bb7edb13d0a2464e7053d5fd9d345de-4,3000.0,1800.0,22.0
Gauss,105102122,3000K 1800lm 22W M,E27,Globe,750.0,17.1,99.0,1781.0,104,150.0,3043.0,83,,0.0,4.5,60.0,5bb7edb13d0a2464e7053d5fd9d345de-5,3000.0,1800.0,22.0
Volpe,"LED-C35-5,5W/4000K/E27/CL/SLF",4000K 500lm 5.5W F,E27,Candle,100.0,4.0,105.0,523.0,132,55.0,4023.0,83,,0.0,4.5,12.0,5bb7edb13d0a2464e7053d5fd9d345de-6,4000.0,500.0,5.0
Volpe,"LED-C35-5,5W/3000K/E27/CL/SLF",3000K 500lm 5.5W F,E27,Candle,100.0,4.1,97.0,485.0,119,55.0,2923.0,85,,1.0,4.5,12.0,5bb7edb13d0a2464e7053d5fd9d345de-7,3000.0,500.0,5.0
АБВ,G45 6W E14 6500K,6500K 480lm 6W M,E14,G45,115.0,6.1,110.0,530.0,87,55.0,6408.0,84,,1.0,4.5,12.0,5bb7edb13d0a2464e7053d5fd9d345de-8,6500.0,480.0,6.0
АБВ,G45 6W E14 6500K,6500K 480lm 6W M,E14,G45,115.0,6.2,113.0,541.0,88,60.0,6418.0,85,,1.0,4.5,12.0,5bb7edb13d0a2464e7053d5fd9d345de-9,6500.0,480.0,6.0
АБВ,G45 6W E27 4000K,4000K 480lm 6W M,E27,G45,115.0,6.2,119.0,570.0,92,60.0,4032.0,82,,1.0,4.5,12.0,5bb7edb13d0a2464e7053d5fd9d345de-10,4000.0,480.0,6.0
АБВ,G45 7W E27 3000K,3000K 560lm 7W M,E27,G45,125.0,7.1,106.0,591.0,83,60.0,2994.0,82,,1.0,4.5,12.0,5bb7edb13d0a2464e7053d5fd9d345de-11,3000.0,560.0,7.0
